E	alpha	r1	L	H	gamma
eV	deg	mm	mm	mm	deg
427	87.9	1774.926	12838.427	1547.855	28.450
427	88.0	1687.193	12565.550	1502.598	26.521
427	88.1	1599.658	12298.109	1458.724	24.924
427	88.2	1512.339	12035.823	1416.164	23.576
427	88.3	1425.254	11778.432	1374.853	22.420
427	88.4	1338.422	11525.695	1334.732	21.416
428	87.6	2040.801	13683.336	1689.880	37.656
428	87.7	1952.513	13392.515	1640.101	33.755
428	87.8	1864.366	13108.105	1591.941	30.761
428	87.9	1776.380	12829.748	1545.314	28.393
428	88.0	1688.573	12557.117	1500.139	26.473
428	88.1	1600.963	12289.906	1456.343	24.882
428	88.2	1513.569	12027.835	1413.857	23.539
428	88.3	1426.411	11770.646	1372.616	22.387
428	88.4	1339.506	11518.097	1332.563	21.387
429	87.6	2042.480	13673.844	1687.079	37.546
429	87.7	1954.115	13383.322	1637.395	33.670
429	87.8	1865.893	13099.192	1589.325	30.692
429	87.9	1777.831	12821.098	1542.783	28.336
429	88.0	1689.949	12548.711	1497.690	26.424
429	88.1	1602.265	12281.729	1453.971	24.840
429	88.2	1514.797	12019.873	1411.559	23.502
429	88.3	1427.565	11762.884	1370.389	22.354
429	88.4	1340.588	11510.523	1330.402	21.357
430	87.6	2044.155	13664.383	1684.290	37.438
430	87.7	1955.715	13374.159	1634.700	33.585
430	87.8	1867.417	13090.308	1586.720	30.624
430	87.9	1779.280	12812.474	1540.264	28.280
430	88.0	1691.323	12540.332	1495.251	26.376
430	88.1	1603.564	12273.578	1451.610	24.798
430	88.2	1516.023	12011.936	1409.271	23.465
430	88.3	1428.718	11755.147	1368.171	22.321
430	88.4	1341.667	11502.974	1328.251	21.327
431	87.6	2045.827	13654.951	1681.512	37.330
431	87.7	1957.311	13365.025	1632.017	33.501
431	87.8	1868.937	13081.452	1584.126	30.556
431	87.9	1780.726	12803.878	1537.754	28.223
431	88.0	1692.694	12531.979	1492.822	26.328
431	88.1	1604.861	12265.454	1449.258	24.757
431	88.2	1517.246	12004.025	1406.992	23.428
431	88.3	1429.868	11747.436	1365.962	22.289
431	88.4	1342.745	11495.449	1326.109	21.297
432	87.6	2047.495	13645.549	1678.746	37.223
432	87.7	1958.904	13355.920	1629.344	33.417
432	87.8	1870.455	13072.624	1581.542	30.488
432	87.9	1782.168	12795.310	1535.255	28.167
432	88.0	1694.062	12523.653	1490.404	26.281
432	88.1	1606.156	12257.355	1446.915	24.715
432	88.2	1518.467	11996.138	1404.722	23.392
432	88.3	1431.015	11739.748	1363.762	22.256
432	88.4	1343.820	11487.948	1323.975	21.268
433	87.6	2049.161	13636.178	1675.991	37.116
433	87.7	1960.493	13346.844	1626.682	33.334
433	87.8	1871.970	13063.824	1578.969	30.421
433	87.9	1783.608	12786.769	1532.766	28.111
433	88.0	1695.428	12515.354	1487.995	26.234
433	88.1	1607.447	12249.282	1444.583	24.674
433	88.2	1519.685	11988.277	1402.462	23.356
433	88.3	1432.161	11732.085	1361.571	22.224
433	88.4	1344.893	11480.471	1321.851	21.238
434	87.6	2050.823	13626.835	1673.247	37.010
434	87.7	1962.080	13337.796	1624.031	33.251
434	87.8	1873.481	13055.052	1576.406	30.355
434	87.9	1785.045	12778.254	1530.287	28.056
434	88.0	1696.791	12507.081	1485.596	26.186
434	88.1	1608.737	12241.234	1442.260	24.633
434	88.2	1520.901	11980.441	1400.212	23.320
434	88.3	1433.304	11724.447	1359.390	22.192
434	88.4	1345.964	11473.017	1319.735	21.209
435	87.5	2141.425	13912.923	1721.315	41.916
435	87.6	2052.481	13617.523	1670.515	36.905
435	87.7	1963.663	13328.777	1621.391	33.169
435	87.8	1874.990	13046.308	1573.854	30.288
435	87.9	1786.480	12769.767	1527.819	28.001
435	88.0	1698.151	12498.834	1483.207	26.139
435	88.1	1610.023	12233.212	1439.946	24.593
435	88.2	1522.115	11972.629	1397.970	23.284
435	88.3	1434.445	11716.833	1357.217	22.159
435	88.4	1347.032	11465.588	1317.628	21.180
436	87.5	2143.156	13903.326	1718.497	41.777
436	87.6	2054.137	13608.240	1667.793	36.801
436	87.7	1965.244	13319.787	1618.762	33.087
436	87.8	1876.496	13037.591	1571.313	30.222
436	87.9	1787.911	12761.306	1525.360	27.946
436	88.0	1699.509	12490.613	1480.827	26.093
436	88.1	1611.307	12225.216	1437.642	24.552
436	88.2	1523.326	11964.843	1395.738	23.248
436	88.3	1435.584	11709.243	1355.053	22.127
436	88.4	1348.099	11458.182	1315.530	21.151
437	87.5	2144.884	13893.760	1715.689	41.640
437	87.6	2055.789	13598.986	1665.083	36.697
437	87.7	1966.821	13310.825	1616.144	33.006
437	87.8	1877.998	13028.902	1568.781	30.156
437	87.9	1789.340	12752.873	1522.912	27.891
437	88.0	1700.864	12482.418	1478.458	26.046
437	88.1	1612.589	12217.244	1435.348	24.512
437	88.2	1524.535	11957.081	1393.515	23.213
437	88.3	1436.720	11701.676	1352.898	22.096
437	88.4	1349.163	11450.799	1313.440	21.122
438	87.5	2146.608	13884.224	1712.893	41.503
438	87.6	2057.438	13589.761	1662.383	36.594
438	87.7	1968.395	13301.891	1613.536	32.925
438	87.8	1879.498	13020.240	1566.260	30.091
438	87.9	1790.765	12744.465	1520.473	27.837
438	88.0	1702.216	12474.249	1476.098	26.000
438	88.1	1613.868	12209.298	1433.062	24.472
438	88.2	1525.741	11949.343	1391.301	23.177
438	88.3	1437.854	11694.134	1350.752	22.064
438	88.4	1350.226	11443.440	1311.359	21.094
439	87.5	2148.329	13874.718	1710.108	41.367
439	87.6	2059.084	13580.565	1659.694	36.491
439	87.7	1969.966	13292.985	1610.938	32.845
439	87.8	1880.995	13011.606	1563.749	30.026
439	87.9	1792.188	12736.084	1518.044	27.783
439	88.0	1703.565	12466.105	1473.747	25.954
439	88.1	1615.145	12201.377	1430.786	24.432
439	88.2	1526.945	11941.630	1389.096	23.142
439	88.3	1438.986	11686.616	1348.615	22.032
439	88.4	1351.286	11436.104	1309.287	21.065
440	87.5	2150.046	13865.241	1707.335	41.232
440	87.6	2060.726	13571.398	1657.017	36.389
440	87.7	1971.534	13284.107	1608.351	32.765
440	87.8	1882.489	13002.998	1561.248	29.961
440	87.9	1793.608	12727.730	1515.626	27.729
440	88.0	1704.912	12457.987	1471.406	25.908
440	88.1	1616.419	12193.480	1428.520	24.392
440	88.2	1528.147	11933.941	1386.900	23.107
440	88.3	1440.116	11679.121	1346.487	22.001
440	88.4	1352.344	11428.791	1307.222	21.036
441	87.5	2151.760	13855.794	1704.572	41.099
441	87.6	2062.366	13562.259	1654.349	36.288
441	87.7	1973.099	13275.257	1605.774	32.686
441	87.8	1883.980	12994.418	1558.758	29.897
441	87.9	1795.026	12719.401	1513.216	27.676
441	88.0	1706.256	12449.895	1469.075	25.863
441	88.1	1617.690	12185.608	1426.262	24.352
441	88.2	1529.346	11926.276	1384.713	23.072
441	88.3	1441.243	11671.649	1344.367	21.969
441	88.4	1353.400	11421.500	1305.167	21.008
442	87.5	2153.471	13846.377	1701.821	40.966
442	87.6	2064.002	13553.150	1651.693	36.188
442	87.7	1974.661	13266.435	1603.208	32.607
442	87.8	1885.468	12985.864	1556.277	29.833
442	87.9	1796.440	12711.099	1510.817	27.622
442	88.0	1707.598	12441.827	1466.753	25.817
442	88.1	1618.959	12177.761	1424.014	24.313
442	88.2	1530.543	11918.635	1382.535	23.037
442	88.3	1442.368	11664.202	1342.255	21.938
442	88.4	1354.454	11414.233	1303.119	20.980
443	87.5	2155.179	13836.989	1699.080	40.834
443	87.6	2065.635	13544.068	1649.047	36.088
443	87.7	1976.220	13257.640	1600.652	32.529
443	87.8	1886.953	12977.337	1553.806	29.770
443	87.9	1797.852	12702.822	1508.427	27.569
443	88.0	1708.937	12433.785	1464.440	25.772
443	88.1	1620.226	12169.939	1421.774	24.274
443	88.2	1531.737	11911.018	1380.365	23.002
443	88.3	1443.491	11656.777	1340.153	21.907
443	88.4	1355.506	11406.989	1301.080	20.952
444	87.5	2156.883	13827.631	1696.351	40.703
444	87.6	2067.265	13535.015	1646.412	35.989
444	87.7	1977.776	13248.872	1598.106	32.451
444	87.8	1888.435	12968.836	1551.345	29.706
444	87.9	1799.261	12694.571	1506.047	27.517
444	88.0	1710.273	12425.768	1462.137	25.727
444	88.1	1621.490	12162.141	1419.544	24.235
444	88.2	1532.930	11903.425	1378.205	22.968
444	88.3	1444.612	11649.375	1338.058	21.876
444	88.4	1356.556	11399.767	1299.049	20.924
445	87.5	2158.584	13818.301	1693.632	40.573
445	87.6	2068.892	13525.990	1643.787	35.890
445	87.7	1979.329	13240.132	1595.571	32.373
445	87.8	1889.915	12960.362	1548.894	29.644
445	87.9	1800.668	12686.346	1503.676	27.464
445	88.0	1711.607	12417.776	1459.842	25.683
445	88.1	1622.751	12154.367	1417.323	24.196
445	88.2	1534.119	11895.855	1376.053	22.933
445	88.3	1445.731	11641.997	1335.973	21.846
445	88.4	1357.604	11392.568	1297.027	20.896
446	87.5	2160.281	13809.001	1690.924	40.443
446	87.6	2070.515	13516.993	1641.173	35.792
446	87.7	1980.879	13231.418	1593.045	32.296
446	87.8	1891.391	12951.914	1546.453	29.581
446	87.9	1802.072	12678.147	1501.315	27.412
446	88.0	1712.938	12409.809	1457.557	25.638
446	88.1	1624.010	12146.617	1415.110	24.157
446	88.2	1535.307	11888.309	1373.909	22.899
446	88.3	1446.847	11634.642	1333.895	21.815
446	88.4	1358.650	11385.391	1295.012	20.868
447	87.5	2161.976	13799.729	1688.227	40.315
447	87.6	2072.136	13508.024	1638.569	35.695
447	87.7	1982.426	13222.732	1590.530	32.220
447	87.8	1892.865	12943.492	1544.021	29.519
447	87.9	1803.472	12669.972	1498.963	27.360
447	88.0	1714.267	12401.866	1455.281	25.594
447	88.1	1625.267	12138.891	1412.907	24.119
447	88.2	1536.492	11880.786	1371.775	22.865
447	88.3	1447.961	11627.309	1331.826	21.784
447	88.4	1359.694	11378.236	1293.006	20.840
448	87.5	2163.667	13790.486	1685.540	40.188
448	87.6	2073.753	13499.083	1635.975	35.598
448	87.7	1983.970	13214.073	1588.024	32.143
448	87.8	1894.336	12935.097	1541.599	29.457
448	87.9	1804.871	12661.823	1496.621	27.309
448	88.0	1715.593	12393.948	1453.015	25.550
448	88.1	1626.521	12131.189	1410.712	24.080
448	88.2	1537.675	11873.287	1369.648	22.831
448	88.3	1449.073	11619.999	1329.765	21.754
448	88.4	1360.735	11371.104	1291.008	20.813
449	87.5	2165.355	13781.271	1682.864	40.061
449	87.6	2075.367	13490.169	1633.392	35.502
449	87.7	1985.511	13205.440	1585.529	32.068
449	87.8	1895.804	12926.727	1539.187	29.395
449	87.9	1806.266	12653.700	1494.288	27.257
449	88.0	1716.916	12386.055	1450.757	25.506
449	88.1	1627.773	12123.511	1408.526	24.042
449	88.2	1538.856	11865.810	1367.531	22.798
449	88.3	1450.183	11612.712	1327.713	21.724
449	88.4	1361.775	11363.993	1289.018	20.785
450	87.5	2167.039	13772.085	1680.199	39.935
450	87.6	2076.978	13481.283	1630.819	35.406
450	87.7	1987.048	13196.834	1583.043	31.992
450	87.8	1897.269	12918.383	1536.784	29.334
450	87.9	1807.659	12645.601	1491.964	27.206
450	88.0	1718.237	12378.186	1448.508	25.462
450	88.1	1629.023	12115.857	1406.348	24.004
450	88.2	1540.034	11858.357	1365.421	22.764
450	88.3	1451.291	11605.447	1325.669	21.694
450	88.4	1362.813	11356.905	1287.035	20.758
451	87.5	2168.721	13762.928	1677.544	39.811
451	87.6	2078.586	13472.424	1628.256	35.312
451	87.7	1988.583	13188.254	1580.567	31.918
451	87.8	1898.731	12910.065	1534.391	29.273
451	87.9	1809.049	12637.527	1489.649	27.155
451	88.0	1719.556	12370.341	1446.268	25.419
451	88.1	1630.270	12108.226	1404.179	23.966
451	88.2	1541.210	11850.927	1363.320	22.730
451	88.3	1452.397	11598.205	1323.632	21.664
451	88.4	1363.848	11349.839	1285.061	20.730
452	87.5	2170.399	13753.798	1674.900	39.687
452	87.6	2080.191	13463.592	1625.703	35.217
452	87.7	1990.116	13179.701	1578.100	31.843
452	87.8	1900.191	12901.772	1532.007	29.213
452	87.9	1810.437	12629.478	1487.344	27.105
452	88.0	1720.871	12362.520	1444.037	25.375
452	88.1	1631.514	12100.619	1402.019	23.929
452	88.2	1542.384	11843.520	1361.228	22.697
452	88.3	1453.500	11590.985	1321.604	21.634
452	88.4	1364.882	11342.794	1283.094	20.703
453	87.5	2172.074	13744.697	1672.265	39.564
453	87.6	2081.793	13454.788	1623.160	35.123
453	87.7	1991.645	13171.174	1575.644	31.769
453	87.8	1901.648	12893.505	1529.633	29.152
453	87.9	1811.822	12621.454	1485.047	27.054
453	88.0	1722.185	12354.723	1441.814	25.332
453	88.1	1632.756	12093.035	1399.867	23.891
453	88.2	1543.556	11836.135	1359.143	22.664
453	88.3	1454.602	11583.787	1319.584	21.604
453	88.4	1365.914	11335.771	1281.136	20.676
454	87.5	2173.746	13735.623	1669.642	39.441
454	87.6	2083.392	13446.010	1620.627	35.030
454	87.7	1993.171	13162.674	1573.197	31.696
454	87.8	1903.102	12885.263	1527.267	29.092
454	87.9	1813.204	12613.454	1482.760	27.004
454	88.0	1723.495	12346.950	1439.601	25.289
454	88.1	1633.996	12085.474	1397.724	23.854
454	88.2	1544.725	11828.773	1357.067	22.631
454	88.3	1455.701	11576.611	1317.572	21.574
454	88.4	1366.943	11328.770	1279.185	20.649
455	87.5	2175.415	13726.577	1667.028	39.320
455	87.6	2084.988	13437.259	1618.103	34.938
455	87.7	1994.694	13154.199	1570.760	31.622
455	87.8	1904.553	12877.046	1524.911	29.033
455	87.9	1814.583	12605.479	1480.481	26.954
455	88.0	1724.804	12339.201	1437.396	25.247
455	88.1	1635.234	12077.937	1395.590	23.817
455	88.2	1545.892	11821.434	1354.999	22.598
455	88.3	1456.798	11569.457	1315.568	21.545
455	88.4	1367.971	11321.790	1277.241	20.623
456	87.5	2177.080	13717.559	1664.424	39.199
456	87.6	2086.580	13428.535	1615.590	34.846
456	87.7	1996.215	13145.750	1568.332	31.550
456	87.8	1906.001	12868.854	1522.565	28.973
456	87.9	1815.960	12597.528	1478.211	26.905
456	88.0	1726.109	12331.475	1435.200	25.204
456	88.1	1636.469	12070.422	1393.463	23.780
456	88.2	1547.057	11814.117	1352.940	22.565
456	88.3	1457.893	11562.325	1313.572	21.515
456	88.4	1368.997	11314.831	1275.306	20.596
457	87.5	2178.742	13708.569	1661.831	39.080
457	87.6	2088.170	13419.838	1613.087	34.754
457	87.7	1997.732	13137.327	1565.913	31.477
457	87.8	1907.447	12860.688	1520.227	28.914
457	87.9	1817.334	12589.601	1475.951	26.855
457	88.0	1727.413	12323.773	1433.012	25.162
457	88.1	1637.701	12062.930	1391.345	23.743
457	88.2	1548.219	11806.822	1350.888	22.533
457	88.3	1458.986	11555.215	1311.583	21.486
457	88.4	1370.021	11307.893	1273.378	20.569
458	87.5	2180.402	13699.606	1659.248	38.961
458	87.6	2089.757	13411.167	1610.593	34.663
458	87.7	1999.247	13128.929	1563.504	31.405
458	87.8	1908.890	12852.546	1517.899	28.856
458	87.9	1818.706	12581.699	1473.699	26.806
458	88.0	1728.714	12316.094	1430.833	25.120
458	88.1	1638.932	12055.462	1389.235	23.706
458	88.2	1549.380	11799.550	1348.844	22.500
458	88.3	1460.077	11548.127	1309.603	21.457
458	88.4	1371.042	11300.977	1271.457	20.543
459	87.5	2182.058	13690.670	1656.674	38.842
459	87.6	2091.341	13402.523	1608.108	34.573
459	87.7	2000.758	13120.557	1561.104	31.334
459	87.8	1910.330	12844.429	1515.579	28.797
459	87.9	1820.075	12573.820	1471.455	26.757
459	88.0	1730.012	12308.439	1428.662	25.078
459	88.1	1640.160	12048.015	1387.134	23.670
459	88.2	1550.538	11792.299	1346.809	22.468
459	88.3	1461.166	11541.060	1307.630	21.428
459	88.4	1372.062	11294.082	1269.545	20.516
460	87.5	2183.711	13681.761	1654.111	38.725
460	87.6	2092.921	13393.904	1605.634	34.483
460	87.7	2002.267	13112.210	1558.714	31.263
460	87.8	1911.768	12836.336	1513.269	28.739
460	87.9	1821.441	12565.966	1469.221	26.708
460	88.0	1731.308	12300.807	1426.500	25.037
460	88.1	1641.385	12040.592	1385.040	23.633
460	88.2	1551.694	11785.071	1344.781	22.436
460	88.3	1462.252	11534.014	1305.665	21.399
460	88.4	1373.080	11287.208	1267.639	20.490
461	87.5	2185.361	13672.879	1651.557	38.609
461	87.6	2094.499	13385.312	1603.169	34.394
461	87.7	2003.773	13103.889	1556.333	31.192
461	87.8	1913.203	12828.268	1510.967	28.682
461	87.9	1822.805	12558.135	1466.995	26.660
461	88.0	1732.601	12293.198	1424.346	24.995
461	88.1	1642.609	12033.191	1382.955	23.597
461	88.2	1552.848	11777.864	1342.761	22.404
461	88.3	1463.337	11526.990	1303.707	21.370
461	88.4	1374.096	11280.354	1265.741	20.464
462	87.5	2187.007	13664.024	1649.014	38.493
462	87.6	2096.074	13376.746	1600.713	34.306
462	87.7	2005.277	13095.593	1553.961	31.122
462	87.8	1914.635	12820.225	1508.674	28.624
462	87.9	1824.167	12550.327	1464.778	26.612
462	88.0	1733.892	12285.612	1422.201	24.954
462	88.1	1643.830	12025.812	1380.878	23.561
462	88.2	1553.999	11770.680	1340.749	22.372
462	88.3	1464.419	11519.987	1301.757	21.341
462	88.4	1375.110	11273.521	1263.851	20.438
463	87.5	2188.651	13655.196	1646.480	38.378
463	87.6	2097.646	13368.206	1598.267	34.217
463	87.7	2006.777	13087.322	1551.598	31.052
463	87.8	1916.064	12812.205	1506.390	28.567
463	87.9	1825.525	12542.544	1462.569	26.564
463	88.0	1735.180	12278.049	1420.063	24.913
463	88.1	1645.048	12018.455	1378.809	23.525
463	88.2	1555.148	11763.517	1338.745	22.340
463	88.3	1465.500	11513.005	1299.815	21.313
463	88.4	1376.122	11266.709	1261.968	20.412
464	87.5	2190.292	13646.395	1643.956	38.264
464	87.6	2099.215	13359.691	1595.830	34.130
464	87.7	2008.275	13079.076	1549.244	30.982
464	87.8	1917.491	12804.210	1504.115	28.510
464	87.9	1826.881	12534.783	1460.369	26.516
464	88.0	1736.467	12270.509	1417.934	24.872
464	88.1	1646.265	12011.121	1376.748	23.489
464	88.2	1556.296	11756.375	1336.748	22.308
464	88.3	1466.578	11506.044	1297.880	21.284
464	88.4	1377.132	11259.918	1260.092	20.386
465	87.5	2191.929	13637.620	1641.441	38.150
465	87.6	2100.781	13351.203	1593.403	34.043
465	87.7	2009.769	13070.854	1546.899	30.913
465	87.8	1918.915	12796.239	1501.849	28.453
465	87.9	1828.235	12527.047	1458.177	26.469
465	88.0	1737.750	12262.991	1415.814	24.831
465	88.1	1647.479	12003.809	1374.694	23.454
465	88.2	1557.441	11749.255	1334.759	22.277
465	88.3	1467.655	11499.105	1295.953	21.256
465	88.4	1378.141	11253.147	1258.223	20.360
466	87.5	2193.564	13628.872	1638.936	38.038
466	87.6	2102.344	13342.739	1590.984	33.956
466	87.7	2011.261	13062.658	1544.563	30.844
466	87.8	1920.336	12788.292	1499.591	28.397
466	87.9	1829.586	12519.333	1455.994	26.421
466	88.0	1739.031	12255.496	1413.701	24.790
466	88.1	1648.691	11996.519	1372.649	23.418
466	88.2	1558.583	11742.157	1332.778	22.245
466	88.3	1468.729	11492.186	1294.033	21.228
466	88.4	1379.147	11246.396	1256.362	20.335
467	87.5	2195.195	13620.150	1636.440	37.926
467	87.6	2103.904	13334.301	1588.575	33.870
467	87.7	2012.751	13054.486	1542.236	30.776
467	87.8	1921.754	12780.368	1497.342	28.341
467	87.9	1830.935	12511.642	1453.819	26.374
467	88.0	1740.310	12248.024	1411.596	24.750
467	88.1	1649.900	11989.250	1370.612	23.383
467	88.2	1559.724	11735.080	1330.805	22.214
467	88.3	1469.801	11485.287	1292.121	21.200
467	88.4	1380.151	11239.666	1254.508	20.309
468	87.5	2196.823	13611.454	1633.954	37.814
468	87.6	2105.461	13325.889	1586.176	33.785
468	87.7	2014.237	13046.338	1539.918	30.708
468	87.8	1923.170	12772.469	1495.102	28.285
468	87.9	1832.281	12503.975	1451.652	26.327
468	88.0	1741.587	12240.573	1409.500	24.710
468	88.1	1651.108	11982.003	1368.582	23.348
468	88.2	1560.863	11728.023	1328.839	22.183
468	88.3	1470.872	11478.410	1290.216	21.172
468	88.4	1381.154	11232.955	1252.661	20.284
469	87.5	2198.449	13602.784	1631.478	37.704
469	87.6	2107.015	13317.502	1583.785	33.700
469	87.7	2015.721	13038.215	1537.609	30.640
469	87.8	1924.584	12764.593	1492.870	28.230
469	87.9	1833.624	12496.330	1449.493	26.281
469	88.0	1742.861	12233.145	1407.411	24.670
469	88.1	1652.313	11974.778	1366.560	23.313
469	88.2	1561.999	11720.988	1326.881	22.152
469	88.3	1471.940	11471.553	1288.318	21.144
469	88.4	1382.155	11226.265	1250.821	20.258
470	87.5	2200.071	13594.140	1629.011	37.594
470	87.6	2108.567	13309.139	1581.403	33.616
470	87.7	2017.201	13030.116	1535.308	30.573
470	87.8	1925.994	12756.740	1490.646	28.175
470	87.9	1834.965	12488.708	1447.343	26.235
470	88.0	1744.132	12225.740	1405.331	24.630
470	88.1	1653.515	11967.575	1364.546	23.278
470	88.2	1563.133	11713.974	1324.930	22.121
470	88.3	1473.006	11464.716	1286.427	21.116
470	88.4	1383.153	11219.595	1248.988	20.233
471	87.5	2201.690	13585.522	1626.553	37.485
471	87.6	2110.115	13300.802	1579.030	33.532
471	87.7	2018.679	13022.041	1533.016	30.506
471	87.8	1927.403	12748.911	1488.431	28.120
471	87.9	1836.303	12481.109	1445.201	26.188
471	88.0	1745.401	12218.356	1403.258	24.590
471	88.1	1654.716	11960.393	1362.540	23.244
471	88.2	1564.266	11706.981	1322.986	22.090
471	88.3	1474.071	11457.900	1284.544	21.088
471	88.4	1384.150	11212.944	1247.162	20.208
472	87.5	2203.307	13576.930	1624.104	37.377
472	87.6	2111.661	13292.489	1576.667	33.448
472	87.7	2020.155	13013.990	1530.733	30.440
472	87.8	1928.808	12741.105	1486.224	28.065
472	87.9	1837.639	12473.533	1443.067	26.142
472	88.0	1746.668	12210.994	1401.193	24.551
472	88.1	1655.914	11953.232	1360.541	23.209
472	88.2	1565.396	11700.009	1321.050	22.060
472	88.3	1475.133	11451.104	1282.668	21.061
472	88.4	1385.145	11206.314	1245.343	20.183
473	87.5	2204.920	13568.363	1621.665	37.269
473	87.6	2113.204	13284.202	1574.312	33.365
473	87.7	2021.627	13005.964	1528.459	30.374
473	87.8	1930.211	12733.323	1484.026	28.011
473	87.9	1838.973	12465.979	1440.941	26.097
473	88.0	1747.933	12203.654	1399.136	24.512
473	88.1	1657.110	11946.093	1358.549	23.175
473	88.2	1566.524	11693.057	1319.122	22.029
473	88.3	1476.193	11444.329	1280.799	21.033
473	88.4	1386.138	11199.703	1243.532	20.158
474	87.5	2206.530	13559.822	1619.234	37.163
474	87.6	2114.744	13275.938	1571.966	33.283
474	87.7	2023.097	12997.961	1526.193	30.308
474	87.8	1931.611	12725.563	1481.836	27.957
474	87.9	1840.304	12458.447	1438.823	26.051
474	88.0	1749.195	12196.336	1397.087	24.473
474	88.1	1658.304	11938.974	1356.566	23.141
474	88.2	1567.649	11686.126	1317.200	21.999
474	88.3	1477.252	11437.573	1278.937	21.006
474	88.4	1387.130	11193.112	1241.727	20.133
475	87.5	2208.138	13551.306	1616.813	37.056
475	87.6	2116.281	13267.700	1569.629	33.201
475	87.7	2024.565	12989.981	1523.935	30.242
475	87.8	1933.009	12717.827	1479.654	27.903
475	87.9	1841.632	12450.938	1436.713	26.006
475	88.0	1750.455	12189.039	1395.046	24.434
475	88.1	1659.495	11931.877	1354.589	23.106
475	88.2	1568.773	11679.216	1315.286	21.968
475	88.3	1478.308	11430.837	1277.082	20.979
475	88.4	1388.119	11186.540	1239.928	20.108
476	87.5	2209.742	13542.815	1614.401	36.951
476	87.6	2117.815	13259.486	1567.300	33.119
476	87.7	2026.029	12982.026	1521.686	30.177
476	87.8	1934.404	12710.113	1477.480	27.850
476	87.9	1842.959	12443.451	1434.611	25.961
476	88.0	1751.712	12181.764	1393.012	24.395
476	88.1	1660.685	11924.801	1352.620	23.073
476	88.2	1569.895	11672.326	1313.379	21.938
476	88.3	1479.362	11424.122	1275.235	20.952
476	88.4	1389.107	11179.987	1238.137	20.084
477	87.4	2303.464	13823.604	1660.582	41.976
477	87.5	2211.344	13534.350	1611.998	36.846
477	87.6	2119.346	13251.296	1564.980	33.038
477	87.7	2027.491	12974.094	1519.445	30.113
477	87.8	1935.796	12702.422	1475.315	27.796
477	87.9	1844.282	12435.986	1432.517	25.916
477	88.0	1752.968	12174.511	1390.986	24.356
477	88.1	1661.872	11917.746	1350.659	23.039
477	88.2	1571.014	11665.456	1311.479	21.908
477	88.3	1480.415	11417.426	1273.394	20.925
477	88.4	1390.093	11173.454	1236.352	20.059
478	87.4	2305.133	13814.870	1658.100	41.836
478	87.5	2212.942	13525.909	1609.604	36.742
478	87.6	2120.875	13243.130	1562.669	32.958
478	87.7	2028.950	12966.185	1517.213	30.048
478	87.8	1937.186	12694.754	1473.157	27.743
478	87.9	1845.603	12428.543	1430.431	25.871
478	88.0	1754.220	12167.279	1388.967	24.318
478	88.1	1663.057	11910.711	1348.705	23.005
478	88.2	1572.132	11658.606	1309.587	21.878
478	88.3	1481.465	11410.749	1271.560	20.898
478	88.4	1391.077	11166.941	1234.575	20.035
479	87.4	2306.798	13806.162	1655.628	41.697
479	87.5	2214.538	13517.494	1607.219	36.639
479	87.6	2122.401	13234.988	1560.367	32.878
479	87.7	2030.406	12958.299	1514.989	29.984
479	87.8	1938.574	12687.108	1471.008	27.691
479	87.9	1846.922	12421.122	1428.352	25.827
479	88.0	1755.471	12160.068	1386.956	24.280
479	88.1	1664.240	11903.697	1346.758	22.972
479	88.2	1573.247	11651.777	1307.701	21.849
479	88.3	1482.514	11404.093	1269.733	20.871
479	88.4	1392.059	11160.446	1232.803	20.010
480	87.4	2308.461	13797.479	1653.164	41.560
480	87.5	2216.131	13509.103	1604.842	36.536
480	87.6	2123.924	13226.870	1558.073	32.798
480	87.7	2031.860	12950.437	1512.773	29.921
480	87.8	1939.958	12679.485	1468.867	27.638
480	87.9	1848.238	12413.722	1426.282	25.783
480	88.0	1756.719	12152.878	1384.953	24.242
480	88.1	1665.420	11896.704	1344.819	22.938
480	88.2	1574.361	11644.967	1305.823	21.819
480	88.3	1483.560	11397.456	1267.913	20.844
480	88.4	1393.039	11153.970	1231.039	19.986
481	87.4	2310.121	13788.822	1650.710	41.423
481	87.5	2217.720	13500.737	1602.475	36.434
481	87.6	2125.444	13218.777	1555.788	32.719
481	87.7	2033.311	12942.598	1510.566	29.857
481	87.8	1941.341	12671.884	1466.733	27.586
481	87.9	1849.552	12406.345	1424.219	25.739
481	88.0	1757.965	12145.710	1382.957	24.204
481	88.1	1666.599	11889.731	1342.887	22.905
481	88.2	1575.472	11638.178	1303.952	21.789
481	88.3	1484.605	11390.838	1266.099	20.818
481	88.4	1394.018	11147.514	1229.281	19.962
482	87.4	2311.778	13780.190	1648.265	41.287
482	87.5	2219.307	13492.395	1600.116	36.333
482	87.6	2126.962	13210.707	1553.511	32.641
482	87.7	2034.759	12934.782	1508.367	29.794
482	87.8	1942.721	12664.306	1464.608	27.534
482	87.9	1850.864	12398.988	1422.163	25.695
482	88.0	1759.209	12138.562	1380.968	24.166
482	88.1	1667.775	11882.778	1340.962	22.872
482	88.2	1576.581	11631.408	1302.087	21.760
482	88.3	1485.648	11384.240	1264.293	20.791
482	88.4	1394.994	11141.076	1227.530	19.938
483	87.4	2313.432	13771.584	1645.829	41.152
483	87.5	2220.891	13484.078	1597.766	36.232
483	87.6	2128.476	13202.660	1551.242	32.563
