E	alpha	r1	L	H	gamma
eV	deg	mm	mm	mm	deg
290	87.9	1542.228	14368.723	2036.840	40.490
290	88.0	1466.431	14053.389	1976.285	36.496
290	88.1	1390.770	13746.248	1917.851	33.399
290	88.2	1315.261	13446.830	1861.417	30.932
290	88.3	1239.918	13154.700	1806.875	28.922
290	88.4	1164.758	12869.459	1754.123	27.250
291	87.9	1544.221	14354.358	2031.839	40.358
291	88.0	1468.323	14039.410	1971.436	36.388
291	88.1	1392.561	13732.631	1913.146	33.309
291	88.2	1316.950	13433.550	1856.851	30.855
291	88.3	1241.508	13141.736	1802.440	28.854
291	88.4	1166.248	12856.790	1749.814	27.190
292	87.9	1546.209	14340.054	2026.867	40.227
292	88.0	1470.209	14025.491	1966.616	36.282
292	88.1	1394.346	13719.071	1908.470	33.220
292	88.2	1318.636	13420.327	1852.311	30.779
292	88.3	1243.093	13128.828	1798.032	28.787
292	88.4	1167.734	12844.177	1745.531	27.130
293	87.9	1548.192	14325.811	2021.925	40.097
293	88.0	1472.091	14011.631	1961.824	36.176
293	88.1	1396.127	13705.570	1903.822	33.131
293	88.2	1320.317	13407.161	1847.799	30.702
293	88.3	1244.674	13115.975	1793.650	28.721
293	88.4	1169.216	12831.618	1741.273	27.070
294	87.9	1550.170	14311.628	2017.013	39.968
294	88.0	1473.968	13997.830	1957.061	36.070
294	88.1	1397.904	13692.126	1899.201	33.043
294	88.2	1321.993	13394.052	1843.314	30.627
294	88.3	1246.251	13103.179	1789.294	28.654
294	88.4	1170.694	12819.113	1737.041	27.011
295	87.9	1552.142	14297.505	2012.128	39.840
295	88.0	1475.839	13984.088	1952.326	35.966
295	88.1	1399.675	13678.740	1894.607	32.955
295	88.2	1323.665	13380.998	1838.856	30.551
295	88.3	1247.824	13090.437	1784.964	28.588
295	88.4	1172.168	12806.663	1732.834	26.953
296	87.9	1554.109	14283.441	2007.273	39.712
296	88.0	1477.706	13970.404	1947.619	35.862
296	88.1	1401.442	13665.411	1890.041	32.868
296	88.2	1325.332	13368.001	1834.424	30.477
296	88.3	1249.392	13077.750	1780.660	28.523
296	88.4	1173.638	12794.267	1728.652	26.894
297	87.9	1556.071	14269.436	2002.446	39.586
297	88.0	1479.568	13956.778	1942.939	35.759
297	88.1	1403.204	13652.138	1885.501	32.781
297	88.2	1326.995	13355.059	1830.017	30.402
297	88.3	1250.956	13065.117	1776.382	28.458
297	88.4	1175.104	12781.923	1724.495	26.836
298	87.9	1558.027	14255.490	1997.647	39.460
298	88.0	1481.425	13943.209	1938.286	35.656
298	88.1	1404.961	13638.922	1880.988	32.695
298	88.2	1328.654	13342.172	1825.637	30.329
298	88.3	1252.517	13052.538	1772.128	28.393
298	88.4	1176.566	12769.633	1720.363	26.778
299	87.9	1559.979	14241.603	1992.876	39.335
299	88.0	1483.277	13929.697	1933.661	35.555
299	88.1	1406.714	13625.761	1876.501	32.610
299	88.2	1330.308	13329.340	1821.283	30.255
299	88.3	1254.073	13040.013	1767.900	28.329
299	88.4	1178.025	12757.395	1716.255	26.721
300	87.9	1561.925	14227.773	1988.132	39.211
300	88.0	1485.124	13916.241	1929.062	35.454
300	88.1	1408.462	13612.655	1872.041	32.525
300	88.2	1331.957	13316.561	1816.954	30.182
300	88.3	1255.624	13027.541	1763.696	28.265
300	88.4	1179.479	12745.209	1712.171	26.664
301	87.9	1563.867	14214.001	1983.416	39.088
301	88.0	1486.966	13902.842	1924.490	35.353
301	88.1	1410.206	13599.605	1867.606	32.441
301	88.2	1333.603	13303.837	1812.650	30.110
301	88.3	1257.172	13015.122	1759.517	28.201
301	88.4	1180.930	12733.076	1708.111	26.607
302	87.9	1565.803	14200.286	1978.727	38.966
302	88.0	1488.803	13889.499	1919.944	35.253
302	88.1	1411.945	13586.609	1863.197	32.357
302	88.2	1335.244	13291.166	1808.371	30.038
302	88.3	1258.716	13002.755	1755.362	28.138
302	88.4	1182.377	12720.994	1704.075	26.551
303	87.9	1567.734	14186.628	1974.064	38.845
303	88.0	1490.636	13876.211	1915.425	35.154
303	88.1	1413.679	13573.668	1858.813	32.274
303	88.2	1336.881	13278.549	1804.116	29.966
303	88.3	1260.255	12990.441	1751.231	28.075
303	88.4	1183.820	12708.962	1700.062	26.495
304	87.9	1569.660	14173.026	1969.429	38.724
304	88.0	1492.464	13862.979	1910.931	35.056
304	88.1	1415.409	13560.781	1854.455	32.191
304	88.2	1338.513	13265.984	1799.887	29.895
304	88.3	1261.791	12978.178	1747.124	28.013
304	88.4	1185.259	12696.982	1696.072	26.439
305	87.9	1571.581	14159.480	1964.819	38.604
305	88.0	1494.287	13849.801	1906.463	34.958
305	88.1	1417.135	13547.947	1850.121	32.109
305	88.2	1340.141	13253.472	1795.681	29.824
305	88.3	1263.323	12965.967	1743.041	27.951
305	88.4	1186.694	12685.052	1692.106	26.384
306	87.9	1573.498	14145.990	1960.236	38.485
306	88.0	1496.105	13836.677	1902.021	34.861
306	88.1	1418.856	13535.166	1845.812	32.027
306	88.2	1341.765	13241.012	1791.500	29.754
306	88.3	1264.850	12953.806	1738.982	27.889
306	88.4	1188.126	12673.172	1688.162	26.329
307	87.9	1575.409	14132.555	1955.679	38.367
307	88.0	1497.919	13823.608	1897.603	34.764
307	88.1	1420.572	13522.438	1841.528	31.946
307	88.2	1343.385	13228.604	1787.343	29.684
307	88.3	1266.374	12941.697	1734.945	27.828
307	88.4	1189.554	12661.343	1684.241	26.274
308	87.9	1577.315	14119.175	1951.148	38.250
308	88.0	1499.728	13810.592	1893.211	34.668
308	88.1	1422.284	13509.763	1837.268	31.865
308	88.2	1345.001	13216.247	1783.209	29.615
308	88.3	1267.893	12929.638	1730.932	27.767
308	88.4	1190.978	12649.562	1680.343	26.220
309	87.9	1579.217	14105.850	1946.642	38.133
309	88.0	1501.532	13797.630	1888.843	34.573
