#Bragg gap
Units mDeg mm
15750.7	6.58109
15746.3	6.58274
15742	6.58438
15737.7	6.58603
15733.4	6.58768
15729	6.58932
15724.7	6.59097
15720.4	6.59262
15716.1	6.59427
15711.8	6.59592
15707.4	6.59757
15703.1	6.59922
15698.8	6.60087
15694.5	6.60252
15690.2	6.60418
15685.8	6.60583
15681.5	6.60748
15677.2	6.60913
15672.9	6.61079
15668.5	6.61244
15664.2	6.6141
15659.9	6.61576
15655.6	6.61741
15651.3	6.61907
15646.9	6.62073
15642.6	6.62238
15638.3	6.62404
15634	6.6257
15629.6	6.62736
15625.3	6.62902
15621	6.63068
15616.7	6.63234
15612.4	6.634
15608	6.63567
15603.7	6.63733
15599.4	6.63899
15595.1	6.64066
15590.8	6.64232
15586.4	6.64399
15582.1	6.64565
15577.8	6.64732
15573.5	6.64898
15569.1	6.65065
15564.8	6.65232
15560.5	6.65399
15556.2	6.65565
15551.9	6.65732
15547.5	6.65899
15543.2	6.66066
15538.9	6.66233
15534.6	6.66401
15530.3	6.66568
15525.9	6.66735
15521.6	6.66902
15517.3	6.6707
15513	6.67237
15508.6	6.67404
15504.3	6.67572
15500	6.67739
15549.8	6.678462
15540.6	6.67923
15531.5	6.6813
15522.3	6.68244
15513.2	6.68305
15494.9	6.68526
15485.8	6.68687
15476.7	6.68748
15467.6	6.68908
15458.5	6.69069
15449.4	6.6943
15440.3	6.69791
15431.2	6.70151
15422.2	6.70512
15413.1	6.70873
15404.1	6.71233
15395.1	6.71594
15386	6.71955
15377	6.72316
15368	6.72676
15359	6.73037
15350	6.73354
15341.5	6.73699
15332.9	6.74045
15324.4	6.74391
15315.8	6.74737
15307.3	6.75083
15298.7	6.7543
15290.2	6.75777
15281.7	6.76125
15273.1	6.76472
15264.6	6.76821
15256	6.77169
15247.5	6.77518
15238.9	6.77867
15230.4	6.78216
15221.9	6.78566
15213.3	6.78916
15204.8	6.79266
15196.2	6.79617
15187.7	6.79968
15179.1	6.80319
15170.6	6.80671
15162.1	6.81023
15153.5	6.81375
15145	6.81728
15136.4	6.82081
15127.9	6.82434
15119.3	6.82788
15110.8	6.83142
15102.3	6.83496
15093.7	6.8385
15085.2	6.84205
15076.6	6.84561
15068.1	6.84916
15059.5	6.85272
15051	6.85628
15042.5	6.85985
15033.9	6.86341
15025.4	6.86698
15016.8	6.87056
15008.3	6.87414
14999.7	6.87772
14991.2	6.8813
14982.7	6.88489
14974.1	6.88848
14965.6	6.89207
14957	6.89567
14948.5	6.89927
14939.9	6.90287
14931.4	6.90648
14922.9	6.91009
14914.3	6.9137
14905.8	6.91732
14897.2	6.92094
14888.7	6.92456
14880.2	6.92819
14871.6	6.93182
14863.1	6.93545
14854.5	6.93908
14846	6.94272
14837.4	6.94636
14828.9	6.95001
14820.4	6.95366
14811.8	6.95731
14803.3	6.96096
14794.7	6.96462
14786.2	6.96828
14777.6	6.97195
14769.1	6.97562
14760.6	6.97929
14752	6.98296
14743.5	6.98664
14734.9	6.99032
14726.4	6.994
14717.8	6.99769
14709.3	7.00138
14700.8	7.00507
14692.2	7.00877
14683.7	7.01247
14675.1	7.01617
14666.6	7.01988
14658	7.02359
14649.5	7.0273
14641	7.03102
14632.4	7.03473
14623.9	7.03846
14615.3	7.04218
14606.8	7.04591
14598.2	7.04964
14589.7	7.05338
14581.2	7.05712
14572.6	7.06086
14564.1	7.0646
14555.5	7.06835
14547	7.0721
14538.4	7.07586
14529.9	7.07961
14521.4	7.08337
14512.8	7.08714
14504.3	7.09091
14495.7	7.09468
14487.2	7.09845
14478.6	7.10223
14470.1	7.10601
14461.6	7.10979
14453	7.11358
14444.5	7.11737
14435.9	7.12116
14427.4	7.12496
14418.8	7.12876
14410.3	7.13256
14401.8	7.13636
14393.2	7.14017
14384.7	7.14399
14376.1	7.1478
14367.6	7.15162
14359	7.15544
14350.5	7.15927
14342	7.1631
14333.4	7.16693
14324.9	7.17076
14316.3	7.1746
14307.8	7.17844
14299.2	7.18229
14290.7	7.18613
14282.2	7.18998
14273.6	7.19384
14265.1	7.1977
14256.5	7.20156
14248	7.20542
14239.4	7.20929
14230.9	7.21316
14222.4	7.21703
14213.8	7.22091
14205.3	7.22479
14196.7	7.22867
14188.2	7.23256
14179.6	7.23645
14171.1	7.24034
14162.6	7.24423
14154	7.24813
14145.5	7.25204
14136.9	7.25594
14128.4	7.25985
14119.8	7.26376
14111.3	7.26768
14102.8	7.2716
14094.2	7.27552
14085.7	7.27944
14077.1	7.28337
14068.6	7.2873
14060.1	7.29124
14051.5	7.29517
14043	7.29911
14034.4	7.30306
14025.9	7.30701
14017.3	7.31096
14008.8	7.31491
14000.3	7.31887
13991.7	7.32283
13983.2	7.32679
13974.6	7.33076
13966.1	7.33473
13957.5	7.3387
13949	7.34268
13940.5	7.34666
13931.9	7.35064
13923.4	7.35462
13914.8	7.35861
13906.3	7.36261
13897.7	7.3666
13889.2	7.3706
13880.7	7.3746
13872.1	7.37861
13863.6	7.38261
13855	7.38663
13846.5	7.39064
13837.9	7.39466
13829.4	7.39868
13820.9	7.4027
13812.3	7.40673
13803.8	7.41076
13795.2	7.4148
13786.7	7.41883
13778.1	7.42288
13769.6	7.42692
13761.1	7.43097
13752.5	7.43502
13744	7.43907
13735.4	7.44313
13726.9	7.44719
13718.3	7.45125
13709.8	7.45532
13701.3	7.45938
13692.7	7.46346
13684.2	7.46753
13675.6	7.47161
13667.1	7.4757
13658.5	7.47978
13650	7.48387
13649.2 7.48838
13642.7 7.49156
13636.2 7.49474
13629.6 7.49792
13623.1 7.5011
13616.6 7.50428
13610.1 7.50747
13603.5 7.51066
13597   7.51385
13590.5 7.51705
13583.9 7.52025
13577.4 7.52345
13570.9 7.52665
13564.3 7.52986
13557.8 7.53307
13551.3 7.53628
13544.7 7.5395
13538.2 7.54272
13531.7 7.54594
13525.1 7.54916
13518.6 7.55238
13512.1 7.55561
13505.5 7.55884
13499   7.56208
13492.5 7.56531
13485.9 7.56855
13479.4 7.57179
13472.9 7.57504
13466.3 7.57829
13459.8 7.58154
13453.3 7.58479
13446.7 7.58804
13440.2 7.5913
13433.7 7.59456
13427.1 7.59783
13420.6 7.60109
13414.1 7.60436
13407.5 7.60763
13401   7.61091
13394.5 7.61418
13387.9 7.61746
13381.4 7.62075
13374.9 7.62403
13368.3 7.62732
13361.8 7.63061
13355.3 7.6339
13348.7 7.6372
13342.2 7.6405
13335.7 7.6438
13329.1 7.6471
13322.6 7.65041
13316.1 7.65372
13309.5 7.65703
13303   7.66034
13296.5 7.66366
13289.9 7.66698
13283.4 7.6703
13276.9 7.67363
13270.4 7.67696
13263.8 7.68029
13257.3 7.68362
13250.8 7.68696
13244.2 7.6903
13237.7 7.69364
13231.2 7.69698
13224.6 7.70033
13218.1 7.70368
13211.6 7.70703
13205   7.71039
13198.5 7.71375
13192   7.71711
13185.4 7.72047
13178.9 7.72384
13172.4 7.72721
13165.8 7.73058
13159.3 7.73395
13152.8 7.73733
13146.2 7.74071
13139.7 7.74409
13133.2 7.74748
13126.6 7.75086
13120.1 7.75425
13113.6 7.75765
13107   7.76104
13100.5 7.76444
13094   7.76784
13087.4 7.77125
13080.9 7.77465
13074.4 7.77806
13067.8 7.78147
13061.3 7.78489
13054.8 7.78831
13048.2 7.79173
13041.7 7.79515
13035.2 7.79857
13028.6 7.802
13022.1 7.80543
13015.6 7.80887
13009   7.8123
13002.5 7.81574
12996   7.81918
12989.4 7.82263
12982.9 7.82607
12976.4 7.82952
12969.8 7.83298
12963.3 7.83643
12956.8 7.83989
12950.3 7.84335
12943.7 7.84681
12937.2 7.85028
12930.7 7.85375
12924.1 7.85722
12917.6 7.86069
12911.1 7.86417
12904.5 7.86765
12898   7.87113
12891.5 7.87462
12884.9 7.8781
12878.4 7.88159
12871.9 7.88509
12865.3 7.88858
12858.8 7.89208
12852.3 7.89558
12845.7 7.89909
12839.2 7.90259
12832.7 7.9061
12826.1 7.90961
12819.6 7.91313
12813.1 7.91665
12806.5 7.92017
12800   7.92369
12700	7.97760
12600	8.03280
12500	8.08780
12400	8.14580
12300	8.20320
12200	8.26065
12100	8.32000
12000	8.38200
11900	8.44110
11800	8.50610
11700	8.56835
11000   9.037
10750   9.220
10500   9.407
10250   9.605
10000   9.815
