Units mDeg mm	
5732.00 6.270
5730.00 6.27140
5720	6.28942
5719.12	6.29033
5718.24	6.29123
5717.36	6.29214
5716.48	6.29305
5715.6	6.29396
5714.72	6.29487
5713.84	6.29577
5712.96	6.29668
5712.09	6.29759
5711.21	6.2985
5710.33	6.29941
5709.45	6.30032
5708.57	6.30123
5707.69	6.30214
5706.81	6.30305
5705	6.30335
5704.1	6.30434
5703.19	6.30532
5702.29	6.30631
5701.38	6.3073
5700.48	6.30829
5699.57	6.30927
5698.67	6.31026
5697.76	6.31125
5696.86	6.31224
5695.95	6.31322
5695.05	6.31421
5694.15	6.3152
5693.24	6.31618
5692.34	6.31717
5691.43	6.31816
5690.53	6.31914
5689.62	6.32013
5688.72	6.32112
5687.81	6.3221
5686.91	6.32309
5686.01	6.32408
5685.1	6.32506
5684.2	6.32605
5683.29	6.32704
5682.39	6.32802
5681.48	6.32901
5680.58	6.33
5679.67	6.33098
5678.77	6.33197
5677.86	6.33295
5676.96	6.33394
5676.06	6.33493
5675.15	6.33591
5674.25	6.3369
5673.34	6.33788
5672.44	6.33887
5671.53	6.33986
5670.63	6.34084
5669.72	6.34183
5668.82	6.34281
5667.91	6.3438
5667.01	6.34478
5666.11	6.34577
5665.2	6.34676
5664.3	6.34774
5663.39	6.34873
5662.49	6.34971
5661.58	6.3507
5660.68	6.35168
5659.77	6.35267
5658.87	6.35365
5657.96	6.35464
5657.06	6.35562
5656.16	6.35661
5655.25	6.35759
5654.35	6.35858
5653.44	6.35956
5652.54	6.36055
5651.63	6.36153
5650.73	6.36252
5649.82	6.3635
5648.92	6.36449
5648.02	6.36547
5647.11	6.36646
5646.21	6.36744
5645.3	6.36843
5644.4	6.36941
5643.49	6.37039
5642.59	6.37138
5641.68	6.37236
5640.78	6.37335
5639.87	6.37433
5638.97	6.37532
5638.07	6.3763
5637.16	6.37728
5636.26	6.37827
5635.35	6.37925
5634.45	6.38024
5633.54	6.38122
5632.64	6.3822
5631.73	6.38319
5630.83	6.38417
5629.92	6.38516
5629.02	6.38614
5628.12	6.38712
5627.21	6.38811
5626.31	6.38909
5625.4	6.39007
5624.5	6.39106
5623.59	6.39204
5622.69	6.39302
5621.78	6.39401
5620.88	6.39499
5619.97	6.39597
5619.07	6.39696
5618.17	6.39794
5617.26	6.39892
5616.36	6.39991
5615.45	6.40089
5614.55	6.40187
5613.64	6.40286
5612.74	6.40384
5611.83	6.40482
5610.93	6.4058
5610.03	6.40679
5609.12	6.40777
5608.22	6.40875
5607.31	6.40973
5606.41	6.41072
5605.5	6.4117
5604.6	6.41268
5603.69	6.41366
5602.79	6.41465
5601.88	6.41563
5600.98	6.41661
5600.08	6.41759
5599.17	6.41858
5598.27	6.41956
5597.36	6.42054
5596.46	6.42152
5595.55	6.4225
5594.65	6.42349
5593.74	6.42447
5592.84	6.42545
5591.93	6.42643
5591.03	6.42741
5590.13	6.4284
5589.22	6.42938
5588.32	6.43036
5587.41	6.43134
5586.51	6.43232
5585.6	6.4333
5584.7	6.43429
5583.79	6.43527
5582.89	6.43625
5581.98	6.43723
5581.08	6.43821
5580.18	6.43919
5579.27	6.44017
5578.37	6.44116
5577.46	6.44214
5576.56	6.44312
5575.65	6.4441
5574.75	6.44508
5573.84	6.44606
5572.94	6.44704
5572.04	6.44802
5571.13	6.449
5570.23	6.44998
5569.32	6.45096
5568.42	6.45195
5567.51	6.45293
5566.61	6.45391
5565.7	6.45489
5564.8	6.45587
5563.89	6.45685
5562.99	6.45783
5562.09	6.45881
5561.18	6.45979
5560.28	6.46077
5559.37	6.46175
5558.47	6.46273
5557.56	6.46371
5556.66	6.46469
5555.75	6.46567
5554.85	6.46665
5553.94	6.46763
5553.04	6.46861
5552.14	6.46959
5551.23	6.47057
5550.33	6.47155
5549.42	6.47253
5548.52	6.47351
5547.61	6.47449
5546.71	6.47547
5545.8	6.47645
5544.9	6.47743
5543.99	6.47841
5543.09	6.47939
5542.19	6.48037
5541.28	6.48135
5540.38	6.48232
5539.47	6.4833
5538.57	6.48428
5537.66	6.48526
5536.76	6.48624
5535.85	6.48722
5534.95	6.4882
5534.05	6.48918
5533.14	6.49016
5532.24	6.49114
5531.33	6.49212
5530.43	6.49309
5529.52	6.49407
5528.62	6.49505
5527.71	6.49603
5526.81	6.49701
5525.9	6.49799
5525	6.49897
5510.00 6.5153
5500.00	6.526
