#Bragg	gap
Units mDeg mm
7100.00 5.97385
7090.00 5.98260
7080.00 5.99136
7070.00 6.00011
7060.00 6.00886
7050.00 6.01761
7040.00 6.02635
7030.00 6.03510
7020.00 6.04384
7010.00 6.05259
7000.00 6.06133
6990.00 6.07007
6980.00 6.07881
6970.00 6.08755
6960.00 6.09629
6950.00 6.10503
6940.00 6.11376
6930.00 6.12250
6920.00 6.13123
6910.00 6.13997
6900.00 6.14870
6890.00 6.15743
6880.00 6.16616
6870.00 6.17489
6860.00 6.18361
6850.00 6.19234
6840.00 6.20106
6830.00 6.20979
6820.00 6.21851
6810.00 6.22723
6800.00 6.23595
6790.00 6.24467
6780.00 6.25339
6770.00 6.26211
6760.00 6.27082
6750.00 6.27954
6740.00 6.28825
6730.00 6.29696
6720.00 6.30568
6710.00 6.31439
6700.00 6.32310
6688.00 6.32726
6678.00 6.33665
6668.00 6.34605
6658.00 6.35544
6648.00 6.36482
6638.00 6.37420
6628.00 6.38358
6618.00 6.39295
6608.00 6.40232
6598.00 6.41168
6588.00 6.42104
6578.00 6.43039
6568.00 6.43974
6558.00 6.44908
6548.00 6.45842
6538.00 6.46775
6528.00 6.47708
6518.00 6.48641
6508.00 6.49573
6498.00 6.50505
6488.00 6.51436
6478.00 6.52366
6468.00 6.53297
6458.00 6.54226
6448.00 6.55156
6438.00 6.56085
6428.00 6.57013
6418.00 6.57941
6408.00 6.58869
6398.00 6.59796
