#Bragg gap
Units mDeg mm
13530.00 7.54104
13520.00 7.54599
13510.00 7.55095
13500.00 7.55592
13490.00 7.56089
13480.00 7.56587
13470.00 7.57086
13460.00 7.57585
13450.00 7.58085
13440.00 7.58586
13430.00 7.59088
13420.00 7.59590
13410.00 7.60093
13400.00 7.60596
13390.00 7.61100
13380.00 7.61605
13370.00 7.62111
13360.00 7.62617
13350.00 7.63124
13340.00 7.63631
13330.00 7.64139
13320.00 7.64648
13310.00 7.65158
13300.00 7.65668
13290.00 7.66179
13280.00 7.66690
13270.00 7.67203
13260.00 7.67716
13250.00 7.68229
13240.00 7.68744
13230.00 7.69258
13220.00 7.69774
13210.00 7.70291
13200.00 7.70808
13190.00 7.71325
13180.00 7.71844
13170.00 7.72363
13160.00 7.72882
13150.00 7.73403
13140.00 7.73924
13130.00 7.74446
13120.00 7.74968
13110.00 7.75491
13100.00 7.76015
13090.00 7.76540
13080.00 7.77065
13070.00 7.77591
13060.00 7.78117
13050.00 7.78644
13040.00 7.79172
13030.00 7.79700
13020.00 7.80230
13010.00 7.80760
13000.00 7.81290
12990.00 7.81822
12980.00 7.82353
12970.00 7.82886
12960.00 7.83419
12950.00 7.83953
12940.00 7.84488
12930.00 7.85023
12920.00 7.85559
12910.00 7.86096
12900.00 7.86633
12890.00 7.87171
12880.00 7.87710
12870.00 7.88249
12860.00 7.88789
12850.00 7.89330
12840.00 7.89872
12830.00 7.90414
12820.00 7.90956
12810.00 7.91500
12800.00 7.92044
12790.00 7.92589
12780.00 7.93134
12770.00 7.93680
12760.00 7.94227
12750.00 7.94775
12740.00 7.95323
12730.00 7.95872
12720.00 7.96421
12710.00 7.96972
12700.00 7.97523
12690.00 7.98074
12680.00 7.98626
12670.00 7.99179
12660.00 7.99733
12650.00 8.00287
12640.00 8.00842
12630.00 8.01398
12620.00 8.01954
12610.00 8.02511
12600.00 8.03069
12590.00 8.03627
12580.00 8.04186
12570.00 8.04746
12560.00 8.05306
12550.00 8.05867
12540.00 8.06429
12530.00 8.06992
12520.00 8.07555
12510.00 8.08118
12500.00 8.08683
12490.00 8.09248
12480.00 8.09814
12470.00 8.10380
12460.00 8.10947
12450.00 8.11515
12440.00 8.12084
12430.00 8.12653
12420.00 8.13223
12410.00 8.13793
12400.00 8.14365
12390.00 8.14937
12380.00 8.15509
12370.00 8.16082
12360.00 8.16656
12350.00 8.17231
12340.00 8.17806
12330.00 8.18382
12320.00 8.18959
12310.00 8.19536
12300.00 8.20114
12290.00 8.20693
12280.00 8.21272
12270.00 8.21852
12260.00 8.22433
12250.00 8.23014
12240.00 8.23597
12230.00 8.24179
12220.00 8.24763
12210.00 8.25347
12200.00 8.25932
12190.00 8.26517
12180.00 8.27103
12170.00 8.27690
12160.00 8.28277
12150.00 8.28866
12140.00 8.29455
12130.00 8.30044
12120.00 8.30634
