strip	i0_corr	it_corr	lnI0It	i0_dark	it_dark	i0_raw	it_raw
93	2338.00	16524.00	-1.95552	1859948	1860433	1862286	1876957
94	7114.00	18660.00	-0.96432	1924209	1925253	1931323	1943913
95	6866.00	18123.00	-0.97060	1927292	1928881	1934158	1947004
96	5343.00	20021.00	-1.32099	1864043	1864582	1869386	1884603
97	7316.00	21333.00	-1.07019	1899432	1900922	1906748	1922255
98	6476.00	22950.00	-1.26521	1767653	1767183	1774129	1790133
99	6616.00	24432.00	-1.30640	1796428	1797966	1803044	1822398
100	10214.00	23693.00	-0.84142	1878227	1878454	1888441	1902147
101	7858.00	30364.00	-1.35173	1758661	1760201	1766519	1790565
102	5011.00	32120.00	-1.85784	1827062	1828664	1832073	1860784
103	12166.00	31950.00	-0.96553	1872820	1873985	1884986	1905935
104	13984.00	37412.00	-0.98408	1819359	1818276	1833343	1855688
105	12620.00	39088.00	-1.13053	1819873	1819896	1832493	1858984
106	10591.00	42079.00	-1.37954	1747767	1747937	1758358	1790016
107	13613.00	46376.00	-1.22576	1847103	1847678	1860716	1894054
108	13323.00	52041.00	-1.36254	1753031	1753218	1766354	1805259
109	21902.00	62106.00	-1.04226	1971331	1971252	1993233	2033358
110	19730.00	64988.00	-1.19206	1859337	1858326	1879067	1923314
111	24303.00	78857.00	-1.17704	1902848	1902474	1927151	1981331
112	27442.00	94013.00	-1.23136	1676824	1677223	1704266	1771236
113	31772.00	102960.00	-1.17576	1945718	1944471	1977490	2047431
114	39196.00	122914.00	-1.14291	1807603	1806504	1846799	1929418
115	47241.00	148631.00	-1.14620	1882490	1881641	1929731	2030272
116	55321.00	188264.00	-1.22469	1861051	1862386	1916372	2050650
117	77869.00	248710.00	-1.16126	1918274	1916400	1996143	2165110
118	112281.00	351630.00	-1.14157	1811202	1812302	1923483	2163932
119	170400.00	527718.00	-1.13041	1839650	1838567	2010050	2366285
120	263672.00	823019.00	-1.13827	1829605	1829832	2093277	2652851
