Low,High,S1 X Plus,S1 X Minus,S1 Y Plus,S1 Y Minus
0,0,-1.75,-3.7,0.626,-0.078
0,6.5,-1.75,-3.7,0.626,-0.078
6.5,38,-1.75,-3.7,0.626,-0.078
