Low,High,M3 X,M3 Y,M3 Roll,M3 Pitch,M3 Yaw,M4 X,M4 Y,M4 Roll,M4 Pitch,M4 Yaw,M4 Bendus,M4 Bendds
0,0,-5.04,0,0,-1.91,0,-15.87,0,0.5,-1.598,0,156270,173770
0,6.5,-5.04,-11,0,-1.91,0,-15.87,-11,0.5,-1.598,0,156270,173770
6.5,38,-5.04,11,0,-1.91,0,-15.87,11,0.5,-1.598,0,156270,173770
