Low,High,S3 X Plus,S3 X Minus,S3 Y Plus,S3 Y Minus
0,0,4.35,0.2,-17.55,17.75
0,6.5,4.35,0.2,-17.55,17.75
6.5,38,4.35,0.2,-17.55,17.75
