Low,High,M1 X,M1 Y,M1 Roll,M1 Pitch,M1 Yaw,M2 X,M2 Y,M2 Roll,M2 Pitch,M2 Yaw,M2 Bendus,M2 Bendds
7,14,3.293,0,4,-1.983,0,-11.01,0,26,-1.955,0,176200,231200
14,22,3.308,-11,4,-1.983,0,-11.38,-11,26,-1.943,0,176200,231200
22,38,3.278,11,4,-1.983,0,-10.64,11,26,-1.967,0,176365,231365
