Low,High,S1 X Plus,S1 X Minus,S1 Y Plus,S1 Y Minus
0,0,3.3,-3.82,0.626,-0.078
0,6.5,3.3,-3.82,0.626,-0.078
6.5,38,3.3,-3.82,0.626,-0.078
