#I21 Soft X-ray ID fitting parameters, created 18 Sept 2016										
#Mode	MinEnergy	MaxEnergy	b	1st-order	2nd-order	3rd-order	4th-order	5th-order	6th-order 	 7th-order
LH	195	1200	9.842947196	0.027673	-0.0000085	-3.3E-009	4.6838E-012	0	0	0
LH	1200	1400	1692.321877	-5.37292	0.006545	-0.0000035	7.24426E-010	0	0	0
LH	1400	1500	166668.3277	-467.866	0.492814	-0.00023	4.05597E-008	0	0	0
LH	1500	1535	-1145101	2277.187	-1.50957	0.000333604	0	0	0	0
LH	1535	1540	1299893	-1693	0.551284704	0	0	0	0	0
LV	428	1200	8.159658535	0.036883229	-2.66611E-005	0.000000012	0	0	0	0
LV	1200	1400	1507.412291	-4.800653916	0.005840699	-3.15985E-006	6.45126E-010	0	0	0
LV	1400	1500	154743.4974	-434.284658	0.457299536	-0.000214102	3.76112E-008	0	0	0
LV	1500	1535	-1144157.538	2275.006666	-1.507921697	0.000333192	0	0	0	0
LV	1535	1541	3764118.785	-4897.990981	1.593382934	0	0	0	0	0
CR	322	1200	9.507261813	0.040972013	-2.99623E-005	1.31482E-008	0	0	0	0
CR	1200	1400	1521.627122	-4.841605377	0.0058961	-3.19241E-006	6.52333E-010	0	0	0
CR	1400	1500	157668.674	-442.4995757	0.465963424	-0.000218165	3.8326E-008	0	0	0
CR	1500	1535	-1173703.108	2333.596119	-1.546647824	0.000341725	0	0	0	0
CR	1535	1541	3093760.122	-4026.212272	1.309955533	0	0	0	0	0
CL	322	1200	9.507261813	0.040972013	-2.99623E-005	1.31482E-008	0	0	0	0
CL	1200	1400	1521.627122	-4.841605377	0.0058961	-3.19241E-006	6.52333E-010	0	0	0
CL	1400	1500	157668.674	-442.4995757	0.465963424	-0.000218165	3.8326E-008	0	0	0
CL	1500	1535	-1173703.108	2333.596119	-1.546647824	0.000341725	0	0	0	0
CL	1535	1541	3093760.122	-4026.212272	1.309955533	0	0	0	0	0
