grating,0_order,1_order,2_order,3_order,4_order,5_order,6_order
VPG1,2725.920746639354,-8.49545932211267,0.01855640429896,-2.41213499869043E-05,1.81284097255363E-08,-7.2628114845369E-12,1.19848248543294E-15
VPG2,4088.88111959024,-12.7431889831683,0.027834606448438,-3.61820249803532E-05,2.71926145883017E-08,-1.08942172268042E-11,1.7977237281492E-15
VPG3,6814.80186598374,-21.2386483052807,0.046391010747398,-6.03033749672564E-05,4.53210243138374E-08,-1.81570287113409E-11,2.99620621358213E-15
Horizontal,1276.23239460178,-2.96393511639717,0.006834074438315,-9.06568352805494E-06,6.88239942523792E-09,-2.77355652682439E-12,4.59418193383629E-16
