,energy,sgm,spech,specl,sgmr1,sgmpitch,pgm,specgamma,resolution,dispersion,
,eV,,mm,mm,mm,deg,,deg,meV,meV/pixel,
,,,,,,,,20,,,
,,,,,,,,30,,,
,,SLVS2,1590.1976,12905.3124,2049.2986,2.326,VPG1,12,,,
,,,,,,,,20,,,
,,,,,,,,30,,,
,,,,,,,VPG2,12,31.45,4.28,
,,,,,,,,20,34.95,6.88,
,,,,,,,,30,42.3,10,
,,,,,,,VPG3,12,,,
,,,,,,,,20,,,
,,,,,,,,30,,,
Co L3-edge or U N4--edge,778,SVLS1,1058,11152.0788,2442.0058,2.294,VPG1,12,51.13,8.55,
,,,,,,,,20,56.1,13.55,
,,,,,,,,30,70.25,19.62,
,,,,,,,VPG2,12,42.67,8.64,
,,,,,,,,20,48.31,13.63,
,,,,,,,,30,56.38,19.8,
,,,,,,,VPG3,12,35.13,8.59,
,,,,,,,,20,42.41,13.55,
,,,,,,,,30,50.77,19.68,
,,SLVS2,1530,12711.3604,2089.0554,2.338,VPG1,12,44.49,4.96,
,,,,,,,,20,49.33,7.83,
,,,,,,,,30,55.38,11.35,
,,,,,,,VPG2,12,29,4.8,
,,,,,,,,20,32.46,7.23,
,,,,,,,,30,37.7,10.68,
,,,,,,,VPG3,12,29.08,4.98,
,,,,,,,,20,33.24,7.84,
,,,,,,,,30,37.7,11.39,
Ni L-edge,856,SVLS1,1108,11616.5812,2773.077,2.535,VPG1,12,,,
,,,,,,,,20,,,
,,,,,,,,30,,,
,,,,,,,VPG2,12,41.73,10.12873,
,,,,,,,,20,48.727,15.97608,
,,,,,,,,30,59.764,23.25437,
,,,,,,,VPG3,12,41.0553,10.13711,
,,,,,,,,20,49.367,15.97644,
,,,,,,,,30,60.09,23.11156,
,,SLVS2,1530,12711.3604,2089.0554,2.338,VPG1,12,,,
,,,,,,,,20,,,
,,,,,,,,30,,,
,,,,,,,VPG2,12,34.9715,6.082,
,,,,,,,,20,36.80028,9.293,
,,,,,,,,30,47.9142,14.01,
,,,,,,,VPG3,12,39.09,6.01399,
,,,,,,,,20,43.34,9.48385,
,,,,,,,,30,50.264,13.77088,
Ce M5-edge,883.8,SVLS1,,,,,VPG1,12,,,
,,,,,,,,20,,,
,,,,,,,,30,,,
,,,,,,,VPG2,12,,,
,,,,,,,,20,,,
,,,,,,,,30,,,
,,,,,,,VPG3,12,,,
,,,,,,,,20,,,
,,,,,,,,30,,,
,,SLVS2,1406.6008,12328.066,2170.7978,2.332,VPG1,12,,,
,,,,,,,,20,,,
,,,,,,,,30,,,
,,,,,,,VPG2,12,36.44,6.24,
,,,,,,,,20,,,
,,,,,,,,30,,,
,,,,,,,VPG3,12,,,
,,,,,,,,20,,,
,,,,,,,,30,,,
Cu L-edge,934,SVLS1,1049.62,11368,2846.96,2.529,VPG1,12,,,
,,,,,,,,20,,,
,,,,,,,,30,,,
,,,,,,,VPG2,12,59.5,11.61,
,,,,,,,,20,74,19.09,
,,,,,,,,30,86,27.3,
,,,,,,,VPG3,12,,,
,,,,,,,,20,,,
,,,,,,,,30,,,
,,SLVS2,1366.25,12186.395,2213.96,2.341,VPG1,12,47.37,7.07,
,,,,,,,,20,51.45,11.16,
,,,,,,,,30,58.55,16.22,
,,,,,,,VPG2,12,35.28,7.056,
,,,,,,,,20,38.13876,10.5941,
,,,,,,,,30,49.4172,15.54,
,,,,,,,VPG3,12,36.53,7.04,
,,,,,,,,20,41.62,11.1,
,,,,,,,,30,49.06,16.14,
Gd M5-edge,1189.6,SVLS1,,,,,VPG1,12,,,
,,,,,,,,20,,,
,,,,,,,,30,,,
,,,,,,,VPG2,12,,,
,,,,,,,,20,,,
,,,,,,,,30,,,
,,,,,,,VPG3,12,,,
,,,,,,,,20,,,
,,,,,,,,30,,,
,,SLVS2,1145.1,11357.875,2399.698,2.339,VPG1,12,,,
,,,,,,,,20,,,
,,,,,,,,30,,,
,,,,,,,VPG2,12,65,10.9,
,,,,,,,,20,73.6,16.8,
,,,,,,,,30,88.8,24.9,
,,,,,,,VPG3,12,56.46,11.36,
,,,,,,,,20,67.49,17.95,
,,,,,,,,30,79.49,26.15,
Er M5-edge,1409,SVLS1,,,,,VPG1,12,,,
,,,,,,,,20,,,
,,,,,,,,30,,,
,,,,,,,VPG2,12,,,
,,,,,,,,20,,,
,,,,,,,,30,,,
,,,,,,,VPG3,12,,,
,,,,,,,,20,,,
,,,,,,,,30,,,
,,SLVS2,1023.5,10887.3,2523,2.328,VPG1,12,150.3,15.95,
,,,,,,,,20,170,25.21,
,,,,,,,,30,182.13,36.79,
,,,,,,,VPG2,12,98.5,16.22,
,,,,,,,,20,90.6,25.16,
,,,,,,,,30,113.2,36.99,
,,,,,,,VPG3,12,76.28,16.06,
,,,,,,,,20,88.14,25.33,
,,,,,,,,30,96.67,36.9,
Yb M5-edge,1520,SVLS1,,,,,VPG1,12,,,
,,,,,,,,20,,,
,,,,,,,,30,,,
,,,,,,,VPG2,12,,,
,,,,,,,,20,,,
,,,,,,,,30,,,
,,,,,,,VPG3,12,,,
,,,,,,,,20,,,
,,,,,,,,30,,,
,,SLVS2,1013.55,10966.17,2691.98,2.424,VPG1,12,,,
,,,,,,,,20,,,
,,,,,,,,30,,,
,,,,,,,VPG2,12,144,18.1,
,,,,,,,,20,,,
,,,,,,,,30,,,
,,,,,,,VPG3,12,112,18.05,
,,,,,,,,20,135,27.01,
,,,,,,,,30,167,42.95,
