grating,0_order,1_order,2_order,3_order,4_order,5_order,6_order
VPG1,42073300965451,-386793745511.464,1366078523.44375,-2267651.27344664,1976.14007740684,-0.88185915718556,0.000159047116864
VPG2,16133756867726,-144726685069.235,500810100.56364,-813155.348887078,687.438239471038,-0.294346455742204,5.03713185170959E-05
VPG3,2226406388842.6,-21626004448.3636,80876282.0610807,-140342.257012821,126.554803447636,-0.058076643677918,1.07420861578513E-05
VPG4,2226406388842.6,-21626004448.3636,80876282.0610807,-140342.257012821,126.554803447636,-0.058076643677918,1.07420861578513E-05
