drbv	t3_m1y	t3_x
-415.908594	-598.33234	170.08129
-405.908594	-598.46707	170.4224
-395.908594	-598.65857	170.38521
-385.908594	-598.76399	170.19838
-375.908594	-598.92382	170.06922
-365.908594	-599.16124	169.68733
-355.908594	-599.26264	169.46801
-345.908594	-599.97673	169.24402
-335.908594	-601.33355	168.14325
-325.908594	-601.70065	167.74485
-315.908594	-602.43945	167.54301
-305.908594	-602.71009	167.25083
-295.908594	-604.4815	166.31583
-285.908594	-607.40853	165.02603
-275.908594	-607.72145	164.55855
-265.908594	-610.84943	163.20589
-255.908594	-611.31702	162.76744
-245.908594	-612.13514	162.47677
-235.908594	-612.70301	162.08257
-225.908594	-613.67367	161.7504
-215.908594	-614.1165	161.37011
-205.908594	-615.50328	161.03349
-195.908594	-617.69653	160.47381
-185.908594	-619.71653	159.92287
-175.908594	-623.08328	159.63155
-165.908594	-624.09488	159.36996
-155.908594	-627.18711	159.09596
-145.908594	-632.98158	158.99312
-135.908594	-634.15668	158.76481
-125.908594	-640.28097	158.85735
-115.908594	-641.45011	158.54742
-105.908594	-649.87091	158.02194
-95.908594	-654.62483	157.90182
-85.908594	-658.90796	157.50615
-75.908594	-663.74812	157.46271
-65.908594	-665.10767	157.11709
-55.908594	-670.63519	157.21222
-45.908594	-675.79678	157.59576
-35.908594	-685.39151	158.92806
-25.908594	-687.06591	158.92452
-15.908594	-691.55447	159.39693
-5.908594	-693.23629	159.3668
