   19	5.974	5.6904
19.101	5.9424	5.7243
19.201	5.9113	5.701
19.301	5.8806	5.7915
19.401	5.8502	5.825
19.501	5.8201	5.8587
19.601	5.7903	5.892
19.701	5.7608	5.9254
19.801	5.7316	5.9032
19.901	5.7027	5.9926
20.001	5.674	5.9648
20.101	5.6458	5.9975
20.201	5.6176	6.0946
20.301	 5.59	6.0619
20.401	5.5624	6.1573
20.501	5.5353	6.1908
20.601	5.5082	6.2253
20.701	5.4816	6.2587
20.801	5.4552	6.2917
20.901	5.4289	6.3252
21.001	5.403	6.295
21.101	5.3774	6.3905
21.201	5.3519	6.4246
21.301	5.3266	6.3924
21.401	5.3016	6.4899
21.501	5.277	6.524
21.601	5.2525	6.5574
21.701	5.2282	6.5303
21.801	5.2042	6.6239
21.901	5.1804	6.6572
22.001	5.1568	6.6909
22.101	5.1334	6.6649
22.201	5.1102	6.7576
22.301	5.0872	6.7907
22.401	5.0645	6.824
22.501	5.0419	6.7937
22.601	5.0195	6.8897
22.701	4.9972	6.9227
22.801	4.9754	6.8905
22.901	4.9535	6.9888
