8.958	110.2	-605.6	0.23	0.238	0.367	0.378
8.888	103.1	-605.6	0.228	0.236	0.368	0.378
8.818	95.8	-605.8	0.218	0.23	0.361	0.368
8.75	88.3	-605.6	0.211	0.222	0.351	0.358
8.683	80.9	-605.4	0.202	0.215	0.34	0.344
8.616	73.2	-605.1	0.194	0.206	0.321	0.33
8.551	65.3	-604.7	0.184	0.195	0.305	0.311
8.487	62.1	-616.9	0.104	0.117	0.207	0.214
8.423	53.3	-613.8	0.127	0.141	0.296	0.304
8.361	44.3	-611.9	0.134	0.148	0.338	0.346
8.3	36.4	-611.1	0.129	0.141	0.343	0.35
8.239	31.2	-611.3	0.147	0.158	0.41	0.416
8.179	24.8	-612.5	0.122	0.134	0.349	0.356
8.121	14.1	-608.6	0.132	0.145	0.45	0.457
8.063	7.5	-604.5	0.13	0.142	0.304	0.311
8.005	-0.5	-603.6	0.123	0.134	0.28	0.291
7.949	-9.6	-603.9	0.139	0.152	0.355	0.364
7.893	-16.7	-602.9	0.142	0.157	0.357	0.364
7.839	-24.6	-602.1	0.132	0.143	0.317	0.323
7.785	-32.8	-601.0	0.119	0.13	0.272	0.282
7.731	-41.3	-600.0	0.104	0.117	0.23	0.238
7.679	-50.3	-598.9	0.088	0.103	0.187	0.195
7.627	-59.7	-597.8	0.068	0.086	0.145	0.152
7.576	-68.3	-597.2	0.054	0.075	0.118	0.126
7.525	-76.4	-596.9	0.051	0.07	0.11	0.118
7.476	-83.9	-596.5	0.045	0.064	0.101	0.109
7.426	-91.0	-596.2	0.04	0.061	0.093	0.1
7.378	-98.3	-595.8	0.034	0.058	0.086	0.093
7.33	-106.0	-595.5	0.03	0.054	0.079	0.085
7.283	-113.5	-595.3	0.029	0.051	0.074	0.082
7.236	-120.5	-594.7	0.024	0.048	0.069	0.076
7.19	-127.5	-594.3	0.022	0.046	0.064	0.072
7.145	-134.4	-594.0	0.02	0.046	0.06	0.067
7.1	-137.3	-598.5	0.081	0.092	0.201	0.208
7.056	-144.1	-598.4	0.076	0.092	0.198	0.206
7.012	-151.2	-598.2	0.074	0.09	0.195	0.204
6.969	-158.4	-598.1	0.072	0.089	0.193	0.202
6.926	-165.7	-598.2	0.068	0.087	0.189	0.195
6.884	-172.8	-598.0	0.066	0.084	0.184	0.192
6.842	-179.8	-597.9	0.063	0.081	0.177	0.185
6.801	-187.1	-597.6	0.062	0.082	0.177	0.184
6.76	-194.3	-597.4	0.06	0.079	0.172	0.179
6.72	-200.0	-597.2	0.039	0.063	0.133	0.141
6.68	-210.0	-595.5	0.051	0.072	0.14	0.146
6.641	-217.7	-595.0	0.047	0.069	0.129	0.137
6.602	-225.2	-594.6	0.043	0.064	0.119	0.124
6.564	-232.4	-594.2	0.038	0.06	0.109	0.117
6.526	-240.1	-593.8	0.034	0.057	0.102	0.109
6.489	-247.3	-593.7	0.031	0.057	0.098	0.105
6.452	-255.1	-593.4	0.029	0.054	0.093	0.101
6.415	-262.5	-593.1	0.028	0.051	0.089	0.097
6.379	-269.8	-592.9	0.025	0.05	0.086	0.092
6.343	-276.8	-592.9	0.023	0.049	0.083	0.09
6.308	-283.7	-592.5	0.021	0.047	0.079	0.086
6.273	-290.6	-592.4	0.021	0.045	0.079	0.087
6.238	-294.5	-595.3	0.035	0.055	0.115	0.124
6.204	-301.2	-595.2	0.032	0.055	0.112	0.12
6.17	-308.1	-595.1	0.029	0.054	0.109	0.118
6.136	-315.5	-595.1	0.029	0.053	0.109	0.116
6.103	-322.4	-594.8	0.025	0.051	0.105	0.11
6.071	-329.2	-594.6	0.024	0.049	0.101	0.107
6.038	-336.5	-594.6	0.023	0.047	0.099	0.105
6.006	-343.4	-594.5	0.021	0.047	0.094	0.102
5.974	-349.9	-594.2	0.018	0.046	0.09	0.098
5.943	-356.8	-594.2	0.017	0.044	0.087	0.095
5.912	-363.8	-594.0	0.014	0.043	0.083	0.091
5.881	-370.8	-593.7	0.012	0.042	0.08	0.087
5.851	-377.7	-593.6	0.011	0.04	0.077	0.083
5.821	-388.2	-587.6	-0.009	0.02	0.031	0.028
5.791	-392.7	-585.6	-0.012	0.013	0.02	0.018
5.761	-395.6	-583.8	-0.013	0.005	0.016	0.015
5.732	-397.3	-582.1	-0.014	0.001	0.017	0.012
