energy,idgap,rowphase1,rowphase3
eV,mm,mm,mm
609.32154,16.00,-15.13886,15.13886
643.48764,16.50,-15.22671,15.22671
678.08396,17.00,-15.31124,15.31124
715.2393805464560,17.5000000000000,-15.3652780907240,15.3652780907240
750.5748329809040,18.0000000000000,-15.4454051842591,15.4454051842591
786.4637282530950,18.5000000000000,-15.5245289184770,15.5245289184770
822.5436370576450,19.0000000000000,-15.6023438877295,15.6023438877295
858.7009328621700,19.5000000000000,-15.6769968922283,15.6769968922283
894.7389226693340,20.0000000000000,-15.7503223584791,15.7503223584791
930.4612022627660,20.5000000000000,-15.8224865402924,15.8224865402924
966.0679796392680,21.0000000000000,-15.8910688507011,15.8910688507011
1001.2864079528200,21.5000000000000,-15.9599190410497,15.9599190410497
